KODE NAMA PT,Terakhir,%Perubahan,Perrubahan,Penialain,Volume,Cap Pasar,P/E,EPS(TTM),Pegawai,Jenis Industri
" ASDM ASURANSI DAYIN MITRA TBK. ",955.00,0.53%,5.00,Penjualan,3.000K,182.400B,6.55,145.00,268.00,Asuransi Properti/Kasualitas
" ASJT ASURANSI JASA TANIA TBK. ",102.00,-2.86%,-3.00,Penjualan,52.900K,56.400B,3.52,27.26,248.00,Asuransi Multi-Lini
" ASMI ASURANSI KRESNA MITRA TBK. ",1195.00,0.42%,5.00,Pembelian Kuat,2.575M,10705.300B,420.78,2.83,236.00,Asuransi Jiwa/Kesehatan
" ASRI ALAM SUTERA REALTY TBK. ",125.00,-6.72%,-9.00,Pembelian,70.092M,2043.540B,3.89,27.02,1828.00,Pengembangan Real Estate
" BABP BANK MNC INTERNASIONAL TBK. ",50.00,0.00%,0.00,Penjualan,12.200K,1266.660B,56.72,0.88,—,Bank Regional
" BACA BANK CAPITAL INDONESIA TBK. ",420.00,-4.55%,-20.00,Pembelian,26.600K,3181.560B,—,12.38,814.00,Bank Regional
" BAPA BEKASI ASRI PEMULA TBK. ",50.00,0.00%,0.00,Penjualan,100.000K,33.089B,8.20,6.10,23.00,Pengembangan Real Estate
" BAPI BHAKTI AGUNG PROPERTINDO TBK. ",50.00,0.00%,0.00,Penjualan,19.700K,—,—,—,—,Pengembangan Real Estate
" BBCA BANK CENTRAL ASIA TBK. ",28275.00,-1.39%,-400.00,Pembelian,29.831M,675547.000B,23.35,1158.59,25877.00,Bank Regional
" BBHI BANK HARDA INTERNASIONAL TBK. ",83.00,-3.49%,-3.00,Penjualan,200,359.861B,—,-8.68,336.00,Bank Regional
" BBKP BANK BUKOPIN TBK. ",125.00,-0.79%,-1.00,Penjualan,20.409M,1141.890B,100.36,1.13,5770.00,Bank Regional
" BBLD BUANA FINANCE TBK. ",426.00,3.40%,14.00,Penjualan,100,720.860B,12.54,34.46,877.00,Pembiayaan/Penyewaan/Lising
" BBNI BANK NEGARA INDONESIA (PERSERO) TBK. ",4310.00,0.47%,20.00,Penjualan,81.628M,68627.200B,4.67,824.96,27211.00,Bank Regional
" BBRI BANK RAKYAT INDONESIA (PERSERO) TBK. ",3030.00,0.33%,10.00,Penjualan,405.389M,369590.000B,—,280.94,61768.00,Bank Regional
" BCAP MNC KAPITAL INDONESIA TBK. ",168.00,12.00%,18.00,Pembelian,113.500K,6351.230B,48.46,3.20,2546.00,Bank/Broker Investasi
" BCIP BUMI CITRA PERMAI TBK. ",50.00,0.00%,0.00,Penjualan,9.600K,71.496B,3.00,18.00,181.00,Pengembangan Real Estate
" BDMN BANK DANAMON INDONESIA TBK. ",2240.00,-2.61%,-60.00,Pembelian,6.490M,20669.500B,5.29,380.30,28913.00,Bank Regional
" BEKS BANK PEMBANGUNAN DAERAH BANTEN TBK. ",50.00,0.00%,0.00,Penjualan,305.200K,3205.470B,—,-1.63,1051.00,Bank Regional
" BEST BEKASI FAJAR INDUSTRIAL ESTATE TBK. ",120.00,-4.76%,-6.00,Pembelian,26.891M,926.142B,2.69,39.41,226.00,Pengembangan Real Estate
" BFIN BFI FINANCE INDONESIA TBK. ",334.00,15.17%,44.00,Penjualan,395.800K,3591.450B,5.85,47.56,12127.00,Pembiayaan/Penyewaan/Lising
" BGTG BANK GANESHA TBK. ",50.00,0.00%,0.00,Penjualan,48.800K,558.755B,—,-0.49,308.00,Bank Regional
" BIKA BINAKARYA JAYA ABADI TBK. ",175.00,-2.78%,-5.00,Penjualan,300,106.610B,—,-37.95,412.00,Pengembangan Real Estate
" BINA BANK INA PERDANA TBK. ",920.00,-5.15%,-50.00,Pembelian,22.200K,5258.570B,—,—,295.00,Bank Regional
" BIPP BHUWANATALA INDAH PERMAI TBK. ",50.00,0.00%,0.00,Penjualan,400,251.433B,—,-7.47,—,Pengembangan Real Estate
" BJBR BANK PEMBANGUNAN DAERAH JAWA BARAT DAN BANTEN TBK. ",840.00,0.00%,0.00,Netral,6.788M,7133.120B,5.02,158.42,7709.00,Bank Regional
" BKDP BUKIT DARMO PROPERTY TBK ",50.00,-5.66%,-3.00,Penjualan,44.300K,375.699B,—,—,120.00,Pengembangan Real Estate
" BKSL SENTUL CITY TBK. ",50.00,0.00%,0.00,Penjualan,16.097M,3354.180B,8.66,5.78,453.00,Pengembangan Real Estate
" BKSW BANK QNB INDONESIA TBK. ",90.00,-6.25%,-6.00,Penjualan,81.600K,2411.530B,17.69,6.22,654.00,Bank Regional
" BMAS BANK MASPION INDONESIA TBK. ",200.00,9.89%,18.00,Penjualan,100,808.710B,11.36,16.90,707.00,Bank Regional
" BMRI BANK MANDIRI (PERSERO) TBK. ",5125.00,-1.44%,-75.00,Penjualan,95.732M,215133.000B,8.07,588.90,39065.00,Bank Regional
" BNGA BANK CIMB NIAGA TBK. ",675.00,0.00%,0.00,Penjualan,2.035M,14957.900B,4.17,146.21,11326.00,Bank Regional
" BNII BANK MAYBANK INDONESIA TBK. ",167.00,3.73%,6.00,Pembelian,1.990M,10593.900B,6.12,24.18,6603.00,Bank Regional
" BNLI BANK PERMATA TBK. ",1155.00,0.43%,5.00,Pembelian,7.971M,28323.100B,19.81,53.50,7120.00,Bank Regional
" BPFI BATAVIA PROSPERINDO FINANCE TBK. ",1180.00,0.00%,0.00,Penjualan,52.900K,2103.540B,28.10,41.99,—,Pembiayaan/Penyewaan/Lising
" BPTR BATAVIA PROSPERINDO TRANS TBK. ",86.00,0.00%,0.00,Penjualan Kuat,3.400K,133.300B,2.40,36.71,103.00,Pembiayaan/Penyewaan/Lising
" BRIS BANK BRISYARIAH TBK. ",202.00,-0.98%,-2.00,Penjualan,23.211M,1797.480B,25.91,7.62,3098.00,Bank Utama
" BSDE BUMI SERPONG DAMAI TBK. ",855.00,3.01%,25.00,Pembelian,48.885M,12342.700B,4.39,147.00,2759.00,Pengembangan Real Estate
" BTPN BANK BTPN TBK. ",2020.00,1.00%,20.00,Penjualan,121.200K,14899.400B,6.21,308.67,19175.00,Bank Regional
" BTPS BANK TABUNGAN PENSIUNAN NASIONAL SYARIAH TBK. ",2780.00,24.66%,550.00,Penjualan,82.305M,15286.900B,10.56,181.73,11495.00,Bank Utama
" BVIC BANK VICTORIA INTERNATIONAL TBK. ",59.00,1.72%,1.00,Penjualan,413.700K,519.213B,10.21,5.68,1044.00,Bank Regional
" CASA CAPITAL FINANCIAL INDONESIA TBK. ",382.00,0.00%,0.00,Penjualan,308.500K,21790.500B,—,—,—,Konglomerat Finansial
" CFIN CLIPAN FINANCE INDONESIA TBK. ",190.00,0.00%,0.00,Penjualan,117.100K,761.043B,2.17,90.75,—,Pembiayaan/Penyewaan/Lising
" CITY NATURA CITY DEVELOPMENTS TBK. ",57.00,1.79%,1.00,Pembelian,98.300K,297.147B,9.20,5.87,116.00,Pengembangan Real Estate
" CLAY CITRA PUTRA REALTY TBK. ",2330.00,0.00%,0.00,Penjualan,51.400K,6322.200B,—,—,291.00,Pengembangan Real Estate
" COWL COWELL DEVELOPMENT TBK. ",50.00,0.00%,0.00,Penjualan,100,243.560B,—,-9.28,289.00,Pengembangan Real Estate
" CPRI CAPRI NUSA SATU PROPERTI TBK. ",50.00,0.00%,0.00,Penjualan,12.000K,—,—,—,—,Pengembangan Real Estate
" CTRA CIPUTRA DEVELOPMENT TBK. ",605.00,6.14%,35.00,Penjualan,132.406M,7784.990B,7.52,54.80,3458.00,Pengembangan Real Estate
" DADA DIAMOND CITRA PROPERTINDO TBK. ",350.00,-1.13%,-4.00,Pembelian,3.774M,—,—,—,—,Pengembangan Real Estate
" DART DUTA ANGGADA REALTY TBK. ",330.00,22.22%,60.00,Pembelian Kuat,6.100K,967.548B,—,-11.83,521.00,Pengembangan Real Estate
" DEFI DANASUPRA ERAPACIFIC TBK. ",1875.00,-0.53%,-10.00,Pembelian Kuat,500,1305.810B,117.75,16.01,14.00,Pembiayaan/Penyewaan/Lising
" DFAM DAFAM PROPERTY INDONESIA TBK. ",322.00,-6.94%,-24.00,Penjualan,700,661.061B,—,—,299.00,Pengembangan Real Estate
" DILD INTILAND DEVELOPMENT TBK. ",246.00,-1.60%,-4.00,Pembelian,183.500K,2674.400B,29.70,8.42,—,Pengembangan Real Estate
" DMAS PURADELTA LESTARI TBK. ",158.00,-4.82%,-8.00,Penjualan,95.430M,8000.880B,5.99,27.70,514.00,Pengembangan Real Estate
" DNAR BANK OKE INDONESIA TBK. ",282.00,-6.00%,-18.00,Pembelian Kuat,1.300K,1635.800B,38.03,6.57,—,Bank Regional
" ELTY BAKRIELAND DEVELOPMENT TBK. ",50.00,0.00%,0.00,Penjualan,300,2176.090B,—,-16.60,623.00,Pengembangan Real Estate
" ESTA ESTA MULTI USAHA TBK. ",125.00,19.05%,20.00,Penjualan,37.380M,—,—,—,—,Pengembangan Real Estate
" FORZ FORZA LAND INDONESIA TBK. ",50.00,0.00%,0.00,Penjualan,100,99.201B,—,-2.78,45.00,Pengembangan Real Estate
" FUJI FUJI FINANCE INDONESIA TBK. ",110.00,10.00%,10.00,Pembelian Kuat,421.900K,—,—,—,—,Pembiayaan/Penyewaan/Lising
" GMTD GOWA MAKASSAR TOURISM DEVELOPMENT TBK. ",18200.00,-3.58%,-675.00,Penjualan,100,1898.760B,—,-575.67,97.00,Pengembangan Real Estate
" GOLD VISI TELEKOMUNIKASI INFRASTRUKTUR TBK. ",194.00,1.57%,3.00,Penjualan,900,228.633B,22.29,8.03,—,Pembiayaan/Penyewaan/Lising
" GPRA PERDANA GAPURAPRIMA TBK. ",51.00,0.00%,0.00,Penjualan,2.272M,213.655B,4.19,11.93,214.00,Pengembangan Real Estate
" GSMF EQUITY DEVELOPMENT INVESTMENT TBK. ",116.00,16.00%,16.00,Pembelian,7.300K,849.838B,15.30,7.45,917.00,Asuransi Multi-Lini
" GWSA GREENWOOD SEJAHTERA TBK. ",93.00,-6.06%,-6.00,Penjualan,60.800K,639.662B,4.08,24.01,—,Pengembangan Real Estate
" HDFA RADANA BHASKARA FINANCE TBK. ",131.00,-6.43%,-9.00,Penjualan Kuat,6.600K,853.576B,—,-113.52,1648.00,Pembiayaan/Penyewaan/Lising
" HDIT HENSEL DAVEST INDONESIA TBK. ",660.00,-2.22%,-15.00,Pembelian,400,876.691B,—,—,40.00,Bank Regional
" IBFN INTAN BARUPRANA FINANCE TBK. ",286.00,0.00%,0.00,Penjualan,15.400K,476.715B,—,-49.24,48.00,Pembiayaan/Penyewaan/Lising
" ICON ISLAND CONCEPTS INDONESIA TBK. ",56.00,-6.67%,-4.00,Penjualan,161.500K,65.385B,4.36,13.75,48.00,Pengembangan Real Estate
" IMJS INDOMOBIL MULTI JASA TBK. ",171.00,-3.93%,-7.00,Penjualan,482.700K,796.198B,7.95,18.24,2367.00,Pembiayaan/Penyewaan/Lising
" INDO ROYALINDO INVESTA WIJAYA TBK. ",60.00,0.00%,0.00,Netral,186.200K,—,—,—,—,Bank Regional
" JMAS ASURANSI JIWA SYARIAH JASA MITRA ABADI TBK. ",318.00,-3.64%,-12.00,Penjualan,500,356.000B,—,—,19.00,Asuransi Multi-Lini
" KIJA KAWASAN INDUSTRI JABABEKA TBK. ",135.00,-4.26%,-6.00,Penjualan,5.285M,2374.040B,4.95,23.84,829.00,Pengembangan Real Estate
" KOTA DMS PROPERTINDO TBK. ",525.00,0.00%,0.00,Penjualan,400,5534.390B,—,—,106.00,Pengembangan Real Estate
" KPIG MNC LAND TBK. ",116.00,-0.85%,-1.00,Penjualan Kuat,3.659M,9594.460B,—,12.79,550.00,Pengembangan Real Estate
" KREN KRESNA GRAHA INVESTAMA TBK. ",264.00,-6.38%,-18.00,Penjualan Kuat,848.100K,5462.550B,14.89,20.28,308.00,Bank/Broker Investasi
" LAND TRIMITRA PROPERTINDO TBK. ",474.00,0.85%,4.00,Penjualan,87.400K,1390.720B,75.43,6.15,68.00,Kepercayaan Investasi Real Estate
" LPCK LIPPO CIKARANG TBK ",610.00,1.67%,10.00,Pembelian,2.301M,1146.870B,—,-645.30,541.00,Pengembangan Real Estate
" LPGI LIPPO GENERAL INSURANCE TBK. ",3650.00,0.00%,0.00,Pembelian,900,547.500B,6.84,533.35,311.00,Asuransi Properti/Kasualitas
" LPKR LIPPO KARAWACI TBK. ",152.00,-3.18%,-5.00,Penjualan,34.894M,9247.540B,—,-60.36,10137.00,Pengembangan Real Estate
" LPPS LIPPO SECURITIES TBK. ",72.00,0.00%,0.00,Netral,10.700K,186.354B,—,-4.55,16.00,Pengelola Investasi
" MAYA BANK MAYAPADA INTERNASIONAL TBK. ",6400.00,-8.57%,-600.00,Penjualan,100,43698.300B,109.42,58.49,3488.00,Bank Regional
" MCOR BANK CHINA CONSTRUCTION BANK INDONESIA TBK. ",90.00,3.45%,3.00,Pembelian,1.136M,1230.730B,16.43,4.75,—,Bank Regional
" MDLN MODERNLAND REALTY TBK. ",83.00,-3.49%,-3.00,Penjualan,108.630M,931.893B,4.99,15.84,1196.00,Pengembangan Real Estate
" MEGA BANK MEGA TBK. ",6450.00,0.00%,0.00,Pembelian Kuat,100,44742.200B,22.34,287.59,5397.00,Bank Regional
" MFIN MANDALA MULTIFINANCE TBK. ",1030.00,-0.48%,-5.00,Penjualan,15.000K,2756.000B,6.96,142.30,6738.00,Pembiayaan/Penyewaan/Lising
" MINA SANURHASTA MITRA TBK. ",50.00,0.00%,0.00,Penjualan,5.000K,328.125B,41.46,1.21,10.00,Pengembangan Real Estate
" MKPI METROPOLITAN KENTJANA TBK. ",15850.00,0.00%,0.00,Pembelian,300,15028.900B,24.45,648.37,1143.00,Pengembangan Real Estate
" MMLP MEGA MANUNGGAL PROPERTY TBK. ",150.00,-3.23%,-5.00,Pembelian,1.138M,930.034B,8.34,16.43,—,Pengembangan Real Estate
" MREI MASKAPAI REASURANSI INDONESIA TBK. ",5000.00,-5.21%,-275.00,Penjualan,300,2731.350B,13.75,362.23,128.00,Asuransi Multi-Lini
" MSIN MNC STUDIOS INTERNATIONAL TBK. ",346.00,0.00%,0.00,Penjualan,218.000K,1768.680B,8.14,42.53,499.00,Pengelola Investasi
" MTFN CAPITALINC INVESTMENT TBK. ",50.00,0.00%,0.00,Penjualan,100,1592.110B,—,-0.05,—,Konglomerat Finansial
" MTLA METROPOLITAN LAND TBK. ",390.00,2.63%,10.00,Penjualan,300,2908.950B,6.72,56.52,561.00,Pengembangan Real Estate
" MTSM METRO REALTY TBK. ",202.00,-0.98%,-2.00,Pembelian,500,47.035B,—,-32.76,62.00,Pengembangan Real Estate
" MTWI MALACCA TRUST WUWUNGAN INSURANCE TBK. ",50.00,0.00%,0.00,Penjualan,55.600K,76.291B,104.98,0.48,81.00,Asuransi Multi-Lini
" NASA AYANA LAND INTERNATIONAL TBK. ",212.00,-6.19%,-14.00,Penjualan,59.300K,2575.150B,569.64,0.38,—,Pengembangan Real Estate
" NATO NUSANTARA PROPERTI INTERNASIONAL TBK. ",1165.00,4.02%,45.00,Pembelian,54.942M,8961.220B,—,—,64.00,Pengembangan Real Estate
" NICK CHARNIC CAPITAL TBK. ",306.00,9.29%,26.00,Pembelian,200,190.136B,18.76,14.92,8.00,Konglomerat Finansial
" NIRO CITY RETAIL DEVELOPMENTS TBK. ",159.00,0.00%,0.00,Pembelian,11.100K,3529.620B,—,-2.72,—,Pengembangan Real Estate
" NISP BANK OCBC NISP TBK. ",750.00,-2.60%,-20.00,Penjualan,48.900K,17782.600B,6.05,128.10,5949.00,Bank Regional
" NOBU BANK NATIONALNOBU TBK. ",915.00,0.00%,0.00,Penjualan,1.000K,4060.690B,96.58,9.47,1400.00,Bank Regional
" OCAP ONIX CAPITAL TBK. ",150.00,-6.25%,-10.00,Penjualan,100,40.980B,11.86,12.64,—,Bank/Broker Investasi
" OMRE INDONESIA PRIMA PROPERTY TBK ",360.00,-6.25%,-24.00,Penjualan Kuat,100,589.810B,5.36,67.20,—,Pengembangan Real Estate
" PADI MINNA PADI INVESTAMA SEKURITAS TBK. ",50.00,0.00%,0.00,Penjualan,10.100K,565.360B,—,-10.04,65.00,Bank/Broker Investasi
" PANS PANIN SEKURITAS TBK. ",1000.00,5.82%,55.00,Pembelian,20.000K,543.081B,4.39,178.88,317.00,Bank/Broker Investasi
" PEGE PANCA GLOBAL KAPITAL TBK. ",168.00,11.26%,17.00,Pembelian,22.900K,464.681B,4.79,33.41,—,Konglomerat Finansial
" PJAA PEMBANGUNAN JAYA ANCOL TBK. ",600.00,0.00%,0.00,Penjualan,13.000K,768.000B,3.56,134.85,835.00,Pengembangan Real Estate
" PNBN BANK PAN INDONESIA TBK ",795.00,1.27%,10.00,Penjualan,4.827M,16620.400B,5.01,137.70,—,Bank Regional
" PNBS BANK PANIN DUBAI SYARIAH TBK. ",50.00,0.00%,0.00,Penjualan,5.600K,1197.950B,90.50,0.55,—,Bank Regional
" PNLF PANIN FINANCIAL TBK. ",210.00,1.94%,4.00,Pembelian,17.178M,6340.380B,3.40,54.48,353.00,Asuransi Jiwa/Kesehatan
" POLL POLLUX PROPERTI INDONESIA TBK. ",9000.00,-2.44%,-225.00,Penjualan,524.000K,84436.000B,603.48,15.66,263.00,Pengembangan Real Estate
" POOL POOL ADVISTA INDONESIA TBK. ",50.00,0.00%,0.00,Penjualan,1.700K,117.068B,—,-111.51,77.00,Asuransi Properti/Kasualitas
" POSA BLISS PROPERTI INDONESIA TBK. ",50.00,0.00%,0.00,Penjualan,7.900K,419.443B,—,—,—,Pengembangan Real Estate
" PPRE PP PRESISI TBK. ",135.00,4.65%,6.00,Pembelian,38.605M,981.533B,3.33,32.40,363.00,Pembiayaan/Penyewaan/Lising
" PPRO PP PROPERTI TBK. ",58.00,16.00%,8.00,Pembelian,1.026B,3083.780B,8.93,5.60,656.00,Pengembangan Real Estate
" PWON PAKUWON JATI TBK. ",404.00,-2.88%,-12.00,Penjualan,214.535M,15025.800B,5.42,60.48,3230.00,Pengembangan Real Estate
" RBMS RISTIA BINTANG MAHKOTASEJATI TBK. ",50.00,0.00%,0.00,Penjualan,2.834M,132.810B,—,-10.21,208.00,Pengembangan Real Estate
" REAL REPOWER ASIA INDONESIA TBK. ",72.00,-6.49%,-5.00,Pembelian,378.007M,—,—,—,—,Pengembangan Real Estate
" RISE JAYA SUKSES MAKMUR SENTOSA TBK. ",440.00,-1.35%,-6.00,Penjualan,283.500K,4537.200B,190.39,2.34,29.00,Pengembangan Real Estate
" RODA PIKKO LAND DEVELOPMENT TBK. ",50.00,0.00%,0.00,Penjualan,456.400K,679.605B,445.63,0.11,233.00,Pengembangan Real Estate
" SATU KOTA SATU PROPERTI TBK. ",50.00,0.00%,0.00,Penjualan,1.300K,63.750B,—,-7.59,131.00,Pengembangan Real Estate
" SDRA BANK WOORI SAUDARA INDONESIA 1906 TBK. ",795.00,1.92%,15.00,Pembelian,4.000K,5133.130B,10.27,75.95,1052.00,Bank Regional
" SFAN SURYA FAJAR CAPITAL TBK. ",775.00,0.65%,5.00,Penjualan,8.900K,—,—,—,—,Pengelola Investasi
" SKRN SUPERKRANE MITRA UTAMA TBK. ",416.00,-1.42%,-6.00,Penjualan,351.800K,603.000B,—,—,313.00,Pembiayaan/Penyewaan/Lising
" SMDM SURYAMAS DUTAMAKMUR TBK. ",69.00,-2.82%,-2.00,Penjualan,800,353.138B,14.03,5.27,415.00,Pengembangan Real Estate
" SMMA SINARMAS MULTIARTHA TBK. ",12800.00,-5.19%,-700.00,Penjualan,100,161188.000B,14.44,934.99,6086.00,Pembiayaan/Penyewaan/Lising
" SMRA SUMMARECON AGUNG TBK. ",520.00,1.96%,10.00,Penjualan,74.685M,5366.770B,9.97,35.70,2538.00,Pengembangan Real Estate
" SOTS SATRIA MEGA KENCANA TBK. ",210.00,-2.78%,-6.00,Penjualan Kuat,200,—,—,—,—,Pengembangan Real Estate
" TRIM TRIMEGAH SEKURITAS INDONESIA TBK. ",128.00,-1.54%,-2.00,Penjualan,2.300K,909.990B,14.61,8.76,294.00,Bank/Broker Investasi
" TRIN PERINTIS TRINITI PROPERTI TBK. ",216.00,5.88%,12.00,Pembelian,12.211M,—,—,—,—,Pengembangan Real Estate
" TRUS TRUST FINANCE INDONESIA TBK ",354.00,-6.84%,-26.00,Pembelian,100,288.000B,14.09,25.12,77.00,Pembiayaan/Penyewaan/Lising
" TUGU ASURANSI TUGU PRATAMA INDONESIA TBK. ",3190.00,-1.54%,-50.00,Penjualan,7.000K,5760.010B,—,—,330.00,Broker/Layanan Asuransi
" URBN URBAN JAKARTA PROPERTINDO TBK. ",1785.00,-3.25%,-60.00,Penjualan,159.400K,5995.580B,59.94,36.97,59.00,Pengembangan Real Estate
" VICO VICTORIA INVESTAMA TBK. ",105.00,0.96%,1.00,Penjualan,11.600K,988.211B,19.01,5.63,1395.00,Bank/Broker Investasi
" VINS VICTORIA INSURANCE TBK. ",96.00,-5.88%,-6.00,Penjualan,22.000K,160.227B,23.35,4.71,41.00,Asuransi Multi-Lini
" WOMF WAHANA OTTOMITRA MULTIARTHA TBK. ",202.00,-4.72%,-10.00,Penjualan Kuat,542.100K,738.074B,2.84,74.59,2670.00,Pembiayaan/Penyewaan/Lising
" YULE YULIE SEKURITAS INDONESIA TBK. ",228.00,4.59%,10.00,Pembelian Kuat,100,385.560B,34.40,5.87,—,Bank/Broker Investasi
" CARE METRO HEALTHCARE INDONESIA TBK. ",302.00,-0.66%,-2.00,Pembelian,6.377M,—,—,—,—,Layanan Medis/Perawat
" HEAL MEDIKALOKA HERMINA TBK. ",2510.00,4.15%,100.00,Netral,1.232M,6035.190B,27.98,75.41,9124.00,Manajemen Rumah Sakit/Perawat
" MIKA MITRA KELUARGA KARYASEHAT TBK. ",1990.00,-5.24%,-110.00,Penjualan,3.308M,27883.100B,39.07,51.20,7516.00,Manajemen Rumah Sakit/Perawat
" PRIM ROYAL PRIMA TBK. ",308.00,-0.65%,-2.00,Penjualan,4.800K,977.308B,185.28,1.57,—,Manajemen Rumah Sakit/Perawat
" SAME SARANA MEDITAMA METROPOLITAN TBK. ",140.00,0.00%,0.00,Penjualan,21.500K,796.500B,—,—,1074.00,Manajemen Rumah Sakit/Perawat
" SILO SILOAM INTERNATIONAL HOSPITALS TBK. ",5400.00,-3.57%,-200.00,Penjualan,13.000K,9470.110B,168.17,34.49,8855.00,Manajemen Rumah Sakit/Perawat
" SRAJ SEJAHTERARAYA ANUGRAHJAYA TBK. ",190.00,-1.04%,-2.00,Penjualan,153.000K,2424.140B,—,-3.36,1806.00,Manajemen Rumah Sakit/Perawat
" DVLA DARYA-VARIA LABORATORIA TBK. ",2150.00,-0.46%,-10.00,Pembelian,3.600K,2371.760B,10.58,198.54,1252.00,Obat-obatan: Generik
" INAF INDOFARMA (PERSERO) TBK. ",1080.00,-3.57%,-40.00,Pembelian,4.759M,3362.710B,—,-10.48,1521.00,Obat-obatan: Lainnya
" KAEF KIMIA FARMA TBK. ",1275.00,-2.30%,-30.00,Pembelian,10.811M,7136.890B,—,-2.29,13052.00,Obat-obatan: Utama
" KLBF KALBE FARMA TBK. ",1230.00,-3.15%,-40.00,Penjualan,68.563M,54609.500B,23.45,54.79,12575.00,Obat-obatan: Lainnya
" MERK MERCK TBK. ",1895.00,2.43%,45.00,Pembelian,42.300K,819.840B,10.76,174.68,431.00,Obat-obatan: Utama
" PEHA PHAPROS TBK. ",940.00,0.00%,0.00,Pembelian,77.600K,789.600B,7.74,121.47,1456.00,Obat-obatan: Utama
" PYFA PYRIDAM FARMA TBK ",172.00,0.00%,0.00,Penjualan,200,92.034B,—,—,653.00,Obat-obatan: Lainnya
" ACST ACSET INDONUSA TBK. ",300.00,-1.96%,-6.00,Penjualan,3.510M,203.000B,—,-1623.19,452.00,Teknik & Konstruksi
" ADHI ADHI KARYA (PERSERO) TBK. ",630.00,-1.56%,-10.00,Penjualan,82.457M,1798.230B,2.73,185.31,1538.00,Teknik & Konstruksi
" BUKK BUKAKA TEKNIK UTAMA TBK. ",1100.00,-5.17%,-60.00,Penjualan Kuat,51.400K,3142.140B,6.17,186.34,626.00,Teknik & Konstruksi
" DEWA DARMA HENWA TBK ",50.00,0.00%,0.00,Penjualan,104.800K,1092.680B,24.75,2.02,2837.00,Teknik & Konstruksi
" DGIK NUSA KONSTRUKSI ENJINIRING TBK. ",50.00,0.00%,0.00,Penjualan,100,276.087B,—,-14.24,1216.00,Teknik & Konstruksi
" IDPR INDONESIA PONDASI RAYA TBK. ",214.00,-5.31%,-12.00,Penjualan Kuat,125.000K,484.726B,57.17,4.23,979.00,Teknik & Konstruksi
" INDY INDIKA ENERGY TBK. ",755.00,-1.31%,-10.00,Pembelian,7.820M,3777.390B,—,-48.84,8.38,Teknik & Konstruksi
" JKON JAYA KONSTRUKSI MANGGALA PRATAMA TBK. ",416.00,0.00%,0.00,Penjualan,100.000K,6751.720B,31.28,13.24,2137.00,Teknik & Konstruksi
" KOPI MITRA ENERGI PERSADA TBK. ",585.00,0.00%,0.00,Penjualan,23.300K,407.901B,60.43,9.68,—,Layanan/Perlengkapan Ladang Minyak
" MIRA MITRA INTERNATIONAL RESOURCES TBK. ",50.00,0.00%,0.00,Penjualan,500,198.073B,22.09,2.26,154.00,Layanan/Perlengkapan Ladang Minyak
" MTPS META EPSI TBK. ",336.00,24.44%,66.00,Pembelian,44.500K,375.260B,—,—,10.00,Teknik & Konstruksi
" NRCA NUSA RAYA CIPTA TBK. ",270.00,-4.93%,-14.00,Penjualan,423.300K,644.666B,6.47,41.42,442.00,Teknik & Konstruksi
" PGAS PERUSAHAAN GAS NEGARA TBK. ",915.00,2.23%,20.00,Penjualan,307.010M,17817.500B,20.25,39.52,3119.00,Jalur Pipa Minyak & Gas
" PKPK PERDANA KARYA PERKASA TBK ",50.00,0.00%,0.00,Penjualan,3.500K,26.968B,—,-13.05,18.00,Teknik & Konstruksi
" PTIS INDO STRAITS TBK. ",61.00,-4.69%,-3.00,Penjualan,100,35.211B,17.61,3.46,176.00,Teknik & Konstruksi
" PTPP PP (PERSERO) TBK. ",760.00,7.04%,50.00,Penjualan,175.028M,3192.950B,3.50,150.05,2095.00,Teknik & Konstruksi
" PTPW PRATAMA WIDYA TBK. ",605.00,0.00%,0.00,Penjualan,20.800K,—,—,—,—,Teknik & Konstruksi
" PTRO PETROSEA TBK. ",1335.00,-1.48%,-20.00,Pembelian,1.783M,1185.120B,2.75,436.53,5864.00,Teknik & Konstruksi
" SSIA SURYA SEMESTA INTERNUSA TBK. ",372.00,-7.00%,-28.00,Penjualan,40.895M,1906.280B,19.24,19.85,—,Teknik & Konstruksi
" TOPS TOTALINDO EKA PERSADA TBK. ",50.00,0.00%,0.00,Penjualan,184.100K,1666.500B,—,-2.52,68.00,Teknik & Konstruksi
" TOTL TOTAL BANGUN PERSADA TBK. ",298.00,-2.61%,-8.00,Penjualan,2.203M,1050.280B,6.02,51.53,715.00,Teknik & Konstruksi
" WEGE WIJAYA KARYA BANGUNAN GEDUNG TBK. ",202.00,4.12%,8.00,Pembelian,126.758M,1397.510B,3.48,47.19,—,Teknik & Konstruksi
" WIKA WIJAYA KARYA (PERSERO) TBK. ",1220.00,7.49%,85.00,Netral,118.317M,7489.910B,3.39,254.84,5566.00,Teknik & Konstruksi
" WOWS GINTING JAYA ENERGI TBK. ",50.00,-1.96%,-1.00,Penjualan,10.963M,126.262B,—,—,613.00,Layanan/Perlengkapan Ladang Minyak
" WSKT WASKITA KARYA (PERSERO) TBK. ",665.00,4.72%,30.00,Penjualan,304.906M,6515.520B,7.06,69.11,—,Teknik & Konstruksi
" WTON WIJAYA KARYA BETON TBK. ",274.00,-4.86%,-14.00,Pembelian,67.297M,1801.070B,3.68,61.44,1492.00,Teknik & Konstruksi
