NO PENERBANGAN,,TANGGAL PENERBANGAN,DARI,MENUJU,,STD,ATD,STA,,STATUS KEDATANGAN,AIRCRAFT,AIRLINE,OPERATOR,TYPE CODE,CODE1,CODE2,MODE S
" K4258 "," "," 05 Apr 2020 "," Hong Kong (HKG) "," Anchorage (ANC) ",8:36," 02:30 "," 03:55 "," 12:35 ",," Landed 12:31 "," Boeing 777-F "," DHL "," Kalitta Air "," B77L "," D0 / DHK "," K4 / CKS "," AA7468 "
" K4232 "," "," 04 Apr 2020 "," Singapore (SIN) "," Hong Kong (HKG) ",3:08," — "," 21:35 "," — ",," Landed 00:43 "," Boeing 777-F "," DHL "," Kalitta Air "," B77L "," D0 / DHK "," K4 / CKS "," AA7468 "
" K4232 "," "," 04 Apr 2020 "," Sydney (SYD) "," Singapore (SIN) ",7:24," — "," 11:50 "," — ",," Landed 19:13 "," Boeing 777-F "," DHL "," Kalitta Air "," B77L "," D0 / DHK "," K4 / CKS "," AA7468 "
" K4232 "," "," 03 Apr 2020 "," Los Angeles (LAX) "," Sydney (SYD) ",14:25," 17:04 "," 18:46 "," 07:52 ",," Landed 09:11 "," Boeing 777-F "," DHL "," Kalitta Air "," B77L "," D0 / DHK "," K4 / CKS "," AA7468 "
" K4232 "," "," 03 Apr 2020 "," Cincinnati (CVG) "," Nagoya (NGO) ",—," 14:00 "," 12:08 "," 02:50 ",," Diverted to LAX "," Boeing 777-F "," DHL "," Kalitta Air "," B77L "," D0 / DHK "," K4 / CKS "," AA7468 "
" RSB4701 "," "," 09 Apr 2020 "," Bucharest (OTP) "," Shanghai (PVG) ",—," — "," 19:37 "," — ",," Scheduled "," Boeing 747-412(BCF) "," Ruby Star "," Rubystar "," B744 "," / RSB "," / RSB "," 5100F9 "
" RSB4706 "," "," 07 Apr 2020 "," Tianjin (TSN) "," Bucharest (OTP) ",10:01," — "," 00:12 "," — ",," Landed 10:13 "," Boeing 747-412(BCF) "," Ruby Star "," Rubystar "," B744 "," / RSB "," / RSB "," 5100F9 "
" RSB4705 "," "," 06 Apr 2020 "," Dubai (DWC) "," Tianjin (TSN) ",7:17," — "," 04:25 "," — ",," Landed 11:42 "," Boeing 747-412(BCF) "," Ruby Star "," Rubystar "," B744 "," / RSB "," / RSB "," 5100F9 "
" RSB4708 "," "," 03 Apr 2020 "," Hong Kong (HKG) "," Dubai (DWC) ",8:19," — "," 08:30 "," — ",," Landed 16:48 "," Boeing 747-412(BCF) "," Ruby Star "," Rubystar "," B744 "," / RSB "," / RSB "," 5100F9 "
" K4259 "," "," 09 Apr 2020 "," Los Angeles (LAX) "," Sydney (SYD) ",—," 17:41 "," 18:32 "," 07:37 ",," Delayed 08:57 "," Boeing 777-F "," DHL "," Kalitta Air "," B77L "," D0 / DHK "," K4 / CKS "," AA7468 "
" K4259 "," "," 09 Apr 2020 "," Cincinnati (CVG) "," Los Angeles (LAX) ",4:30," 10:00 "," 11:33 "," 14:34 ",," Landed 16:04 "," Boeing 777-F "," DHL "," Kalitta Air "," B77L "," D0 / DHK "," K4 / CKS "," AA7468 "
" K4823 "," "," 08 Apr 2020 "," Anchorage (ANC) "," Cincinnati (CVG) ",5:18," 14:05 "," 14:12 "," 19:28 ",," Landed 19:30 "," Boeing 777-F "," DHL "," Kalitta Air "," B77L "," D0 / DHK "," K4 / CKS "," AA7468 "
" K4823 "," "," 08 Apr 2020 "," Hong Kong (HKG) "," Anchorage (ANC) ",8:51," 03:45 "," 03:52 "," 12:32 ",," Landed 12:44 "," Boeing 777-F "," DHL "," Kalitta Air "," B77L "," D0 / DHK "," K4 / CKS "," AA7468 "
" K4751 "," "," 07 Apr 2020 "," Bahrain (BAH) "," Hong Kong (HKG) ",6:37," — "," 16:09 "," — ",," Landed 22:46 "," Boeing 777-F "," DHL "," Kalitta Air "," B77L "," D0 / DHK "," K4 / CKS "," AA7468 "
" K4751 "," "," 07 Apr 2020 "," Brussels (BRU) "," Bahrain (BAH) ",6:09," — "," 07:43 "," — ",," Landed 13:52 "," Boeing 777-F "," DHL "," Kalitta Air "," B77L "," D0 / DHK "," K4 / CKS "," AA7468 "
